resize_bilinearv2 417.846
ArgMaxV2 268.663
fusion_cast_op_3 230.883
MatMul_1 39.403
add 37.426
Conv2d1 33.67
relu6 33.456
transdata 33.231
trans_Cast_32 30.993
quant 30.171
add0 28.396
trans_TransData_6 27.764
bias_add_1 25.086
dequant 24.547
trans_TransData_19 22.641
trans_TransData_2 21.739
Softmax 19.625
MatMul_2 18.852
trans_TransData_18 18.53
trans_TransData_31 18.416
cast0 18.322
