1001 6721.500000 6721.500000
1,3,299,299 2268.800000 2268.800000
1,160,73,73 38990.550000 38990.550000
1,96,71,71 3270.100000 3270.100000
1,384,35,35 9981.755000 9981.755000
1,96,35,35 2424.522222 2424.522222
1,256,17,17 1646.966667 1646.966667
1,1024,17,17 13764.171429 13764.171429
1,384,17,17 1992.866667 1992.866667
1,128,17,17 1521.950000 1521.950000
1,320,8,8 1729.600000 1729.600000
1,1536,8,8 4506.768750 4506.768750
1,256,8,8 2209.950000 2209.950000
1,512,8,8 2569.650000 2569.650000
1,1536 1174.350000 1174.350000
1,1001 832.625000 832.625000
1,192,71,71 5401.550000 5401.550000
1,192,8,8 1399.900000 1399.900000
1,1024,8,8 1749.900000 1749.900000
