cell_stem_conv1 CPU 20359 0 20359
cell_stem_0/cell_base/relu CPU 2611 20367 22978
cell_stem_0/cell_base/Conv1x1 CPU 26573 22988 49561
cell_stem_0/comb_iter_1/left/bf_relu_0 CPU 1538 49569 51107
cell_stem_0/comb_iter_1/left/separable_depthwise7x7_1 CPU 20406 51113 71519
cell_stem_0/comb_iter_1/left/separable_pointwise7x7_1 CPU 4665 71553 76218
cell_stem_0/comb_iter_1/left/separable_depthwise7x7_2 CPU 19495 76224 95719
cell_stem_0/comb_iter_1/left/separable_pointwise7x7_2 CPU 5224 95729 100953
cell_stem_0/comb_iter_1/right/pooling/maxpool_3 CPU 4870 100960 105830
cell_stem_0/comb_iter_1/add CPU 827 105842 106669
cell_stem_0/comb_iter_2/left/bf_relu_0 CPU 1494 106674 108168
cell_stem_0/comb_iter_2/left/separable_depthwise5x5_1 CPU 6582 108176 114758
cell_stem_0/comb_iter_2/left/separable_pointwise5x5_1 CPU 5115 114766 119881
cell_stem_0/comb_iter_2/left/separable_depthwise5x5_2 CPU 4518 119889 124407
cell_stem_0/comb_iter_2/left/separable_pointwise5x5_2 CPU 4594 124414 129008
cell_stem_0/comb_iter_2/right/bf_relu_0 CPU 1470 129013 130483
cell_stem_0/comb_iter_2/right/separable_depthwise3x3_1 CPU 5866 130488 136354
cell_stem_0/comb_iter_2/right/separable_pointwise3x3_1 CPU 4999 136366 141365
cell_stem_0/comb_iter_2/right/separable_depthwise3x3_2 CPU 2899 141371 144270
cell_stem_0/comb_iter_2/right/separable_pointwise3x3_2 CPU 4991 144277 149268
cell_stem_0/comb_iter_2/add CPU 666 149275 149941
cell_stem_0/comb_iter_3/left/bf_relu_0 CPU 540 149947 150487
cell_stem_0/comb_iter_3/left/separable_depthwise3x3_1 CPU 2657 150493 153150
cell_stem_0/comb_iter_3/left/separable_pointwise3x3_1 CPU 5002 153157 158159
cell_stem_0/comb_iter_3/left/separable_depthwise3x3_2 CPU 2186 158167 160353
cell_stem_0/comb_iter_3/left/separable_pointwise3x3_2 CPU 5071 160360 165431
cell_stem_0/comb_iter_3/right/pooling/maxpool_3 CPU 2574 165437 168011
cell_stem_0/comb_iter_3/add CPU 679 168019 168698
cell_stem_0/comb_iter_4/right/relu CPU 1507 168703 170210
cell_stem_0/comb_iter_4/right/Conv1x1 CPU 6037 170216 176253
cell_stem_0/comb_iter_0/left/bf_relu_0 CPU 3480 176259 179739
cell_stem_0/comb_iter_0/left/separable_depthwise5x5_1 CPU 10043 179746 189789
cell_stem_0/comb_iter_0/left/separable_pointwise5x5_1 CPU 7806 189797 197603
cell_stem_0/comb_iter_0/left/separable_depthwise5x5_2 CPU 4324 197639 201963
cell_stem_0/comb_iter_0/left/separable_pointwise5x5_2 CPU 4946 201970 206916
cell_stem_0/comb_iter_0/right/pooling/maxpool_3 CPU 4763 206922 211685
cell_stem_0/comb_iter_0/right/pool_1x1_conv CPU 7141 211691 218832
cell_stem_0/comb_iter_0/add CPU 659 218836 219495
cell_stem_0/comb_iter_4/left/bf_relu_0 CPU 2730 219500 222230
cell_stem_0/comb_iter_4/left/separable_depthwise3x3_1 CPU 7224 222235 229459
cell_stem_0/comb_iter_4/left/separable_pointwise3x3_1 CPU 7384 229465 236849
