trans_TransData_38 249698.632
MaxPool_6 232589.841
Resize_5 17334.358
Pad_20 1760.601
trans_TransData_9 1612.59
Relu_3 397.196
AveragePool_21 353.258
Conv_22 330.399
Conv_2 312.905
GlobalAveragePool_25 272.765
trans_TransData_8 231.849
trans_TransData_31 224.662
Conv_7 139.587
Conv_0 135.317
Conv_17 134.409
Relu_18 130.463
Conv_11 119.852
Relu_12 109.831
trans_TransData_1 101.944
Conv_15 100.791
Relu_16 97.591
Relu_1 83.336
Conv_9 81.977
Conv_13 80.347
Concat_24 77.235
Relu_14 69.121
trans_Cast_0 62.038
Relu_8 60.083
Relu_10 54.358
Gemm_27 49.483
Relu_23 47.099
trans_TransData_39 45.429
Flatten_26 26.71
trans_Cast_41 26.3
trans_TransData_33 25.828
