1001 8664.500000 8664.500000
1,3,299,299 1626.800000 1626.800000
1,160,73,73 9311.200000 9311.200000
1,96,71,71 2953.450000 2953.450000
1,192,71,71 3053.200000 3053.200000
1,384,35,35 4619.392857 4619.392857
1,96,35,35 988.683333 988.683333
1,384,17,17 973.720000 973.720000
1,1024,17,17 5055.803333 5055.803333
1,128,17,17 909.250000 909.250000
1,256,17,17 1282.341667 1282.341667
1,320,8,8 695.350000 695.350000
1,1536,8,8 1740.375000 1740.375000
1,512,8,8 873.275000 873.275000
1,256,8,8 650.800000 650.800000
1,1536 660.100000 660.100000
1,1001 960.725000 960.725000
