1001 6945.500000 6945.500000
1,3,224,224 1834.550000 1834.550000
1,32,111,111 2454.487500 2454.487500
1,13,56,56 1748.300000 1748.300000
1,7,7,1080 5039.300000 5039.300000
1,1080 1144.500000 1144.500000
1,1001 1154.900000 1154.900000
