task scheduler:,,,,,,,,,,,,,
Time(%),Time(us),Count,Avg(us),Min(us),Max(us),Waiting(us),Running(us),Pending(us),Type,API,Task ID,Op Name,Stream ID
21.1705,12559151.22,50,251183.024,251032.962,251397.336,0,12559151.22,0,kernel AI core task,KernelLaunch,15,trans_TransData_55,512
19.6147,11636175.33,50,232723.506,232665.15,232791.66,0,11636175.33,0,kernel AI core task,KernelLaunch,16,MaxPool_6,512
4.2765,2536967.344,50,50739.346,50692.393,50784.269,0,2536967.344,0,kernel AI cpu task,,13,trans_Cast_14,512
3.7888,2247643.496,50,44952.869,44868.071,45147.134,0,2247643.496,0,kernel AI cpu task,,11,trans_Cast_10,512
1.5751,934406.899,50,18688.137,18588.59,18913.848,0,934406.899,0,kernel AI core task,KernelLaunch,14,Resize_5,512
1.0106,599543.185,50,11990.863,11957.759,12039.112,0,599543.185,0,kernel AI cpu task,,12,Relu_3,512
0.7621,452135.588,50,9042.711,9010.623,9088.851,0,452135.588,0,kernel AI cpu task,,9,trans_Cast_6,512
0.6728,399122.513,50,7982.45,7960.832,8031.56,0,399122.513,0,kernel AI cpu task,,7,trans_Cast_5,512
0.5528,327919.961,50,6558.399,6531.197,6609.737,0,327919.961,0,kernel AI cpu task,,40,trans_Cast_48,512
0.5525,327764.186,50,6555.283,6526.457,6609.165,0,327764.186,0,kernel AI cpu task,,36,trans_Cast_41,512
0.4922,292001.734,50,5840.034,5813.592,5894.529,0,292001.734,0,kernel AI cpu task,,38,trans_Cast_45,512
0.488,289515.02,50,5790.3,5771.092,5808.176,0,289515.02,0,kernel AI cpu task,,34,trans_Cast_36,512
0.3771,223692.458,50,4473.849,4433.228,4503.28,0,223692.458,0,kernel AI cpu task,,20,trans_Cast_46,512
0.3749,222408.195,50,4448.163,4425.57,4472.916,0,222408.195,0,kernel AI cpu task,,32,trans_Cast_32,512
0.374,221888.451,50,4437.769,4419.842,4457.759,0,221888.451,0,kernel AI cpu task,,28,trans_Cast_47,512
0.3509,208156.163,50,4163.123,4145.676,4183.592,0,208156.163,0,kernel AI cpu task,,18,trans_Cast_18,512
0.3338,197997.418,50,3959.948,3925.936,3974.894,0,197997.418,0,kernel AI cpu task,,26,trans_Cast_31,512
0.3338,198023.25,50,3960.465,3936.978,3997.811,0,198023.25,0,kernel AI cpu task,,30,trans_Cast_26,512
0.3054,181181.266,50,3623.625,3578.539,3938.435,0,181181.266,0,kernel AI cpu task,,2,trans_Cast_0,513
0.287,170268.395,50,3405.367,3374.895,3431.039,0,170268.395,0,kernel AI cpu task,,24,trans_Cast_27,512
0.2581,153112.619,50,3062.252,3027.81,3082.186,0,153112.619,0,kernel AI cpu task,,22,trans_Cast_22,512
0.196,116278.306,50,2325.566,2303.436,2353.905,0,116278.306,0,kernel AI cpu task,,48,trans_Cast_49,512
0.1957,116078.091,50,2321.561,2285.883,2368.124,0,116078.091,0,kernel AI cpu task,,8,Relu_1,512
0.1825,108266.366,50,2165.327,2143.228,2187.446,0,108266.366,0,kernel AI cpu task,,46,trans_Cast_40,512
0.1513,89781.699,50,1795.633,1781.189,1814.004,0,89781.699,0,kernel AI core task,KernelLaunch,42,Pad_20,512
0.1398,82952.208,50,1659.044,1647.494,1672.596,0,82952.208,0,kernel AI core task,KernelLaunch,43,trans_TransData_13,512
0.1387,82269.804,50,1645.396,1615.207,1738.748,0,82269.804,0,kernel AI cpu task,,39,Relu_18,512
0.1342,79593.018,50,1591.86,1567.707,1729.685,0,79593.018,0,kernel AI cpu task,,35,Relu_16,512
0.0988,58600.011,50,1172,1153.592,1232.654,0,58600.011,0,kernel AI cpu task,,31,Relu_14,512
0.0902,53481.108,50,1069.622,1052.342,1119.009,0,53481.108,0,kernel AI cpu task,,27,Relu_12,512
