2 836.000000 836.000000
1,96,165,165 12855.886792 12852.500000
1,42,165,165 7153.714286 7144.970588
1,96,83,83 4275.615385 4715.400000
1,42,83,83 4117.298507 3215.564706
1,83,83,42 4348.585366 3643.232143
1,83,83,168 9594.538462 8756.105263
1,168,83,83 6453.666667 7844.896552
1,96,166,166 31154.000000 31154.000000
1,84,83,83 4681.142857 4446.979167
1,84,42,42 2933.391304 2771.783626
1,42,42,84 3351.064516 2842.261905
1,42,42,336 6014.388889 5209.944444
1,168,42,42 3351.820305 3023.263972
1,42,42,168 4242.337838 3287.141667
1,1008,42,42 11022.604839 9884.598592
1,336,42,42 5514.821918 4073.957447
1,336,21,21 2722.532443 2494.277424
1,21,21,336 3221.535294 2643.547297
1,21,21,1344 6694.333333 6235.636364
1,1008,43,43 12473.454545 12473.454545
1,168,21,21 3375.000000 4026.000000
1,2016,21,21 7738.844828 6125.937500
1,672,21,21 4941.483871 3210.933333
1,672,11,11 2444.033092 2282.019114
1,11,11,672 2933.337143 2316.375000
1,11,11,2688 4732.666667 4840.454545
1,2016,22,22 8782.363636 8782.363636
1,336,11,11 2245.000000 3773.950000
1,4032,11,11 6191.069767 4281.094595
1,3,331,331 2887.888889 2887.888889
1,165,165,96 14734.666667 14734.666667
1,1344,21,21 6163.421053 4739.000000
1,1008,21,21 6255.900000 3387.000000
1,42,42,1008 18325.900000 18325.900000
1,2688,11,11 5257.300000 3081.500000
1,2016,11,11 5421.650000 2460.000000
1,21,21,2016 10054.900000 10054.900000
1,1001 1707.714286 1651.888889
