1001 4171.333333 4171.333333
1,3,299,299 2300.733333 2300.733333
1,384,35,35 2817.251724 2817.251724
1,96,35,35 2008.216000 2008.216000
1,384,17,17 1678.466667 1678.466667
1,256,17,17 1518.051724 1518.051724
1,1024,17,17 3062.545098 3062.545098
1,128,17,17 1699.977778 1699.977778
1,320,8,8 1733.950000 1733.950000
1,1536,8,8 2647.160000 2647.160000
1,512,8,8 1593.888889 1593.888889
1,1536 1482.966667 1482.966667
1,1001 1544.416667 1544.416667
1,160,73,73 7582.350000 7582.350000
1,96,71,71 2310.100000 2310.100000
1,192,71,71 3698.600000 3698.600000
1,192,8,8 2002.700000 2002.700000
1,1024,8,8 1989.900000 1989.900000
1,256,8,8 1965.500000 1965.500000
