1001 1390.000000 1390.000000
1,96,165,165 1979.424242 2031.908163
1,96,83,83 791.800000 829.878049
1,96,166,166 1753.200000 1753.200000
1,54,83,83 579.754789 450.556561
1,108,83,83 820.993243 864.720779
1,108,42,42 321.516014 269.041045
1,42,42,108 296.744681 284.529412
1,54,165,165 1587.050505 1753.113402
1,83,83,54 687.000000 360.550000
1,270,83,83 1399.340000 1562.910714
1,42,42,540 840.333333 796.282051
1,216,42,42 459.011533 447.205621
1,42,42,216 510.681250 472.956349
1,270,84,84 1384.250000 1384.250000
1,42,42,1080 1441.481928 1431.583851
1,1080,21,21 602.611111 503.000000
1,1080,42,42 1268.204819 1589.855556
1,216,21,21 307.200000 172.250000
1,432,21,21 310.027170 271.531447
1,21,21,432 317.905660 261.644788
1,432,42,42 709.472441 857.285714
1,21,21,2160 784.873333 801.768750
1,2160,11,11 381.647059 417.052632
1,2160,21,21 1001.114943 889.730337
1,432,11,11 246.700000 421.800000
1,864,11,11 201.959775 200.869710
1,11,11,864 233.854430 162.230769
1,864,21,21 466.231405 533.960938
1,11,11,4320 473.925532 587.720430
1,1001 127.300000 36.900000
1,3,331,331 519.222222 519.222222
1,165,165,96 2981.100000 2981.100000
1,540,42,42 710.750000 861.500000
1,270,42,42 481.823529 542.000000
1,83,83,270 1497.500000 1497.500000
1,4320,11,11 459.777778 687.480000
