1001 2211.000000 2211.000000
1,96,165,165 3181.049383 3137.168317
1,42,165,165 1816.297297 1892.400000
1,96,83,83 878.790698 2141.157895
1,42,83,83 624.168224 1366.917808
1,83,83,42 712.448980 1751.675676
1,83,83,168 2750.367347 2737.275000
1,168,83,83 1341.360000 3531.400000
1,96,166,166 3032.100000 3032.100000
1,84,83,83 914.820000 1004.876712
1,84,42,42 394.133641 778.637838
1,42,42,84 439.684211 580.969697
1,42,42,336 1195.823529 1576.350000
1,168,42,42 634.509583 981.442793
1,42,42,168 696.103306 1487.352332
1,1008,42,42 2996.721519 3109.857143
1,336,42,42 1073.484211 1132.325581
1,336,21,21 408.590838 673.590133
1,21,21,336 407.626623 830.444015
1,21,21,1344 1587.968750 1390.200000
1,1008,43,43 3110.500000 3110.500000
1,168,21,21 425.250000 1208.684211
1,2016,21,21 2153.179372 2707.443299
1,672,21,21 668.333333 851.750000
1,672,11,11 264.152560 615.880586
1,11,11,672 294.401338 859.281407
1,11,11,2688 1440.343750 884.100000
1,2016,22,22 2165.157895 2165.157895
1,336,11,11 409.000000 1313.650000
1,4032,11,11 1173.397260 2092.192857
1,1001 46.666667 31.736842
1,3,331,331 744.666667 744.666667
1,165,165,96 5113.400000 5113.400000
1,1344,21,21 1544.222222 1973.000000
1,1008,21,21 1249.833333 1491.500000
1,42,42,1008 4264.200000 4264.200000
1,2688,11,11 904.277778 1714.150000
1,2016,11,11 745.500000 1429.000000
1,21,21,2016 3174.555556 3174.555556
